InvoiceNo,Description,Quantity,UnitPrice,CustomerID,InvoiceDate,Country
536365,C,2,O,14008,2010-12-04 16:47:17,United Kingdom
536365,T,9,E,14008,2010-12-04 16:47:17,United Kingdom
536365,C,5,O,14008,2010-12-04 16:47:17,United Kingdom
536366,WHITE METAL LANTERN,3,3.39,14001,2010-12-24 02:44:34,Germany
536366,LUNCH BAG WOODLAND,6,4.95,14001,2010-12-24 02:44:34,Germany
536366,PAPER CLIPS,7,1.95,14001,2010-12-24 02:44:34,Germany
536367,COFFEE MUG DOLLY GIRL,5,2.35,13047,2010-12-12 21:38:16,United Kingdom
536367,CHRISTMAS CRAFT KIT,3,3.95,13047,2010-12-12 21:38:16,United Kingdom
536367,PACK OF 20 SKULL PAPER NAPKINS,6,1.25,13047,2010-12-12 21:38:16,United Kingdom
536367,BOOKSHELF,11,49.95,13047,2010-12-12 21:38:16,United Kingdom
536367,JAM MAKING SET GREEN,5,11.95,13047,2010-12-12 21:38:16,United Kingdom
536368,LUNCH BAG CARS BLUE,5,4.95,13047,2010-12-28 19:55:06,United Kingdom
536368,WOODEN FRAME PAINTED RED,6,5.95,13047,2010-12-28 19:55:06,United Kingdom
536368,WOODEN FRAME PAINTED BLACK,5,5.95,13047,2010-12-28 19:55:06,United Kingdom
536369,PLASTERS IN TIN SPACEBOY,1,1.65,14008,2010-12-07 00:46:15,United Kingdom
536369,PLASTIC STORAGE BOX,1,4.95,14008,2010-12-07 00:46:15,United Kingdom
536369,METAL HOOK RACK 3 HOOKS WHITE,4,1.95,14008,2010-12-07 00:46:15,United Kingdom
536370,CHRISTMAS CANDLE SET,4,4.95,14002,2010-12-03 19:58:36,Spain
536370,POWER BANK,5,29.95,14002,2010-12-03 19:58:36,Spain
536370,CUP AND SAUCER SET,10,11.95,14002,2010-12-03 19:58:36,Spain
536370,REGENCY CAKESTAND 3 TIER,5,15.95,14002,2010-12-03 19:58:36,Spain
536371,LUNCH BAG BLACK SKULL,6,4.15,14004,2010-12-12 19:08:32,Netherlands
536372,BOOKSHELF,6,49.95,14004,2010-12-20 17:24:24,Netherlands
536372,CREAM CUPID HEARTS COAT HANGER,3,2.75,14004,2010-12-20 17:24:24,Netherlands
536372,TRAVEL BAG,3,19.95,14004,2010-12-20 17:24:24,Netherlands
536373,BATH TOWEL,5,12.95,13047,2010-12-10 22:10:29,United Kingdom
536374,WOODEN FRAME PAINTED YELLOW,5,5.95,14012,2010-12-05 02:19:53,Poland
536374,LUNCH BAG CARS BLUE,5,4.95,14012,2010-12-05 02:19:53,Poland
536375,PACK OF 20 BLUE POLKA DOT NAPKINS,1,1.25,14003,2010-12-16 16:07:59,Italy
536375,PAPER CHAIN KIT 50'S CHRISTMAS,1,3.25,14003,2010-12-16 16:07:59,Italy
536375,IRONING BOARD,5,29.95,14003,2010-12-16 16:07:59,Italy
536376,R,6,U,14010,2010-12-05 18:42:30,Switzerland
536376,C,4,U,14010,2010-12-05 18:42:30,Switzerland
536376,C,4,U,14010,2010-12-05 18:42:30,Switzerland
536376,L,4,A,14010,2010-12-05 18:42:30,Switzerland
536377,L,3,U,13047,2010-12-11 16:37:35,United Kingdom
536377,S,4,E,13047,2010-12-11 16:37:35,United Kingdom
536377,J,8,U,13047,2010-12-11 16:37:35,United Kingdom
536378,SALT AND PEPPER SET,2,3.95,14001,2010-12-18 18:46:59,Germany
536378,CHRISTMAS LIGHTS SNOWFLAKE,3,3.95,14001,2010-12-18 18:46:59,Germany
536379,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,4.25,14004,2010-12-14 23:55:46,Netherlands
536380,JUMBO BAG BLACK SKULL,2,1.95,14010,2010-12-28 17:15:12,Switzerland
536380,SET OF 6 HERB TINS,5,4.95,14010,2010-12-28 17:15:12,Switzerland
536380,GLASS SET,11,7.95,14010,2010-12-28 17:15:12,Switzerland
536381,L,2,A,14006,2010-12-27 16:05:59,Portugal
536381,R,4,U,14006,2010-12-27 16:05:59,Portugal
536381,C,8,U,14006,2010-12-27 16:05:59,Portugal
536381,C,12,U,14006,2010-12-27 16:05:59,Portugal
536382,C,10,H,14009,2010-12-27 00:42:45,Ireland
536382,C,5,H,14009,2010-12-27 00:42:45,Ireland
536382,C,9,H,14009,2010-12-27 00:42:45,Ireland
536382,C,3,H,14009,2010-12-27 00:42:45,Ireland
536383,R,5,E,13047,2010-12-20 17:43:55,United Kingdom
536383,T,3,E,13047,2010-12-20 17:43:55,United Kingdom
536383,C,2,O,13047,2010-12-20 17:43:55,United Kingdom
536384,CUP AND SAUCER SET,10,11.95,14008,2010-12-23 21:15:16,United Kingdom
536384,CERAMIC CAKE STAND WITH HANDLE,1,12.95,14008,2010-12-23 21:15:16,United Kingdom
536384,BOX OF 6 DINOSAUR DESIGNS,4,2.95,14008,2010-12-23 21:15:16,United Kingdom
536385,SET OF 4 KNICK KNACK TINS,6,3.25,14006,2010-12-09 18:59:22,Portugal
536385,LUNCH BAG WOODLAND,6,4.95,14006,2010-12-09 18:59:22,Portugal
536385,TEA SET,6,12.95,14006,2010-12-09 18:59:22,Portugal
536386,COFFEE MUG APPLES DESIGN,2,2.35,14011,2010-12-18 20:59:42,Austria
536386,PACK OF 72 RETROSPOT CAKE CASES,10,1.65,14011,2010-12-18 20:59:42,Austria
536387,V,1,A,14001,2010-12-23 21:13:43,Germany
536387,I,3,R,14001,2010-12-23 21:13:43,Germany
536387,L,3,A,14001,2010-12-23 21:13:43,Germany
536387,I,8,R,14001,2010-12-23 21:13:43,Germany
536388,TABLE LAMP,5,24.95,14006,2010-12-23 22:35:00,Portugal
536388,ASSORTED COLOUR BIRD ORNAMENT,4,1.69,14006,2010-12-23 22:35:00,Portugal
536389,WOODEN FRAME PAINTED GREEN,4,5.95,14000,2010-12-02 20:23:57,France
536390,LUNCH BAG BLACK SKULL,12,4.15,14008,2010-12-04 21:49:35,United Kingdom
536390,PACK OF 20 PINK POLKA DOT NAPKINS,4,1.25,14008,2010-12-04 21:49:35,United Kingdom
536390,LUNCH BAG CARS BLUE,6,4.95,14008,2010-12-04 21:49:35,United Kingdom
536390,JUMBO BAG PINK POLKA DOT,3,1.95,14008,2010-12-04 21:49:35,United Kingdom
536390,CHRISTMAS LIGHTS STAR,12,3.95,14008,2010-12-04 21:49:35,United Kingdom
536391,WOODEN FRAME PAINTED WHITE,11,5.95,13047,2010-12-13 16:54:30,United Kingdom
536391,CHILLI LIGHTS,6,2.95,13047,2010-12-13 16:54:30,United Kingdom
536391,PLASTERS IN TIN BLUE SPOTS,2,1.65,13047,2010-12-13 16:54:30,United Kingdom
536392,METAL HOOK RACK 3 HOOKS BLACK,5,1.95,14010,2010-12-09 21:41:32,Switzerland
536392,HAND WARMER UNION JACK,10,1.85,14010,2010-12-09 21:41:32,Switzerland
536392,COFFEE MUG APPLES DESIGN,6,2.35,14010,2010-12-09 21:41:32,Switzerland
536392,SET OF 12 ROUND PAPER DOILIES,4,0.85,14010,2010-12-09 21:41:32,Switzerland
536393,C,6,U,14007,2010-12-17 17:24:57,Australia
536393,C,5,U,14007,2010-12-17 17:24:57,Australia
536393,L,1,A,14007,2010-12-17 17:24:57,Australia
536393,R,3,U,14007,2010-12-17 17:24:57,Australia
536394,S,3,E,14006,2010-12-11 02:26:20,Portugal
536394,J,1,A,14006,2010-12-11 02:26:20,Portugal
536394,J,2,A,14006,2010-12-11 02:26:20,Portugal
536394,S,5,E,14006,2010-12-11 02:26:20,Portugal
536395,I,6,R,14007,2010-12-21 21:29:28,Australia
536395,V,1,A,14007,2010-12-21 21:29:28,Australia
536395,I,2,R,14007,2010-12-21 21:29:28,Australia
536395,L,2,A,14007,2010-12-21 21:29:28,Australia
536396,BOWL SET,6,8.95,14010,2010-12-07 18:01:02,Switzerland
536397,PACK OF 72 RETROSPOT CAKE CASES,2,1.65,14007,2010-12-07 22:31:25,Australia
536398,BOWL SET,8,8.95,14000,2010-12-27 00:29:03,France
536399,PRINTER PAPER,6,8.95,14008,2010-12-18 00:38:20,United Kingdom
